date,Device category,Gender,Age,City,Kanal ID,Article ID,Total users,Views,categoryauto_new_rank1
20250727,desktop,female,18-24,Balikpapan,(not set),(not set),66,99,
20250727,desktop,female,18-24,Banda Aceh,(not set),(not set),39,46,
20250727,desktop,female,18-24,Bandar Lampung,(not set),(not set),109,148,
20250727,desktop,female,18-24,Bandung,(not set),(not set),550,834,
20250727,desktop,female,18-24,Bandung,2,(not set),52,87,
20250727,desktop,female,18-24,Bandung,2-1909-1954,8022185,11,12,
20250727,desktop,female,18-24,Bandung,2-1909-1954,8030743,10,10,
20250727,desktop,female,18-24,Bandung,2-605,(not set),11,20,
20250727,desktop,female,18-24,Banguntapan,(not set),(not set),15,44,
20250727,desktop,female,18-24,Banjarbaru,(not set),(not set),26,37,
20250727,desktop,female,18-24,Banjarmasin,(not set),(not set),68,92,
20250727,desktop,female,18-24,Banjarnegara,(not set),(not set),22,26,
20250727,desktop,female,18-24,Bantul,(not set),(not set),13,19,
20250727,desktop,female,18-24,Banyuwangi,(not set),(not set),12,15,
20250727,desktop,female,18-24,Batam,(not set),(not set),87,142,
20250727,desktop,female,18-24,Bekasi,(not set),(not set),186,297,
20250727,desktop,female,18-24,Bekasi,2,(not set),33,48,
20250727,desktop,female,18-24,Bekasi Regency,(not set),(not set),145,224,
20250727,desktop,female,18-24,Bekasi Regency,2,(not set),12,15,
20250727,desktop,female,18-24,Bengkulu,(not set),(not set),34,38,
20250727,desktop,female,18-24,Bima,(not set),(not set),13,13,
20250727,desktop,female,18-24,Blitar,(not set),(not set),22,47,
20250727,desktop,female,18-24,Bogor,(not set),(not set),90,158,
20250727,desktop,female,18-24,Bogor,2,(not set),13,24,
20250727,desktop,female,18-24,Bojong Gede,(not set),(not set),15,25,
20250727,desktop,female,18-24,Bondowoso,(not set),(not set),14,14,
20250727,desktop,female,18-24,Bukittinggi,(not set),(not set),21,29,
20250727,desktop,female,18-24,Buleleng,(not set),(not set),19,26,
20250727,desktop,female,18-24,Cibinong,(not set),(not set),16,20,
20250727,desktop,female,18-24,Cikande,(not set),(not set),11,13,
20250727,desktop,female,18-24,Cilegon,(not set),(not set),16,31,
20250727,desktop,female,18-24,Cileungsi,(not set),(not set),13,17,
20250727,desktop,female,18-24,Cileunyi,(not set),(not set),10,15,
20250727,desktop,female,18-24,Cirebon,(not set),(not set),52,79,
20250727,desktop,female,18-24,Citeureup,(not set),(not set),12,20,
20250727,desktop,female,18-24,Dalung,(not set),(not set),14,14,
20250727,desktop,female,18-24,Denpasar,(not set),(not set),142,182,
20250727,desktop,female,18-24,Depok,(not set),(not set),335,480,
20250727,desktop,female,18-24,Depok,2,(not set),39,78,
20250727,desktop,female,18-24,Dumai,(not set),(not set),15,29,
20250727,desktop,female,18-24,Godean,(not set),(not set),16,36,
20250727,desktop,female,18-24,Gorontalo,(not set),(not set),15,17,
20250727,desktop,female,18-24,Gunung Putri,(not set),(not set),19,30,
20250727,desktop,female,18-24,Indramayu,(not set),(not set),11,11,
20250727,desktop,female,18-24,Jakarta,(not set),(not set),1591,2621,
20250727,desktop,female,18-24,Jakarta,2,(not set),246,442,
20250727,desktop,female,18-24,Jakarta,2-1909-1954,8026659,13,13,
20250727,desktop,female,18-24,Jakarta,2-1909-1954,8030743,16,16,
20250727,desktop,female,18-24,Jakarta,2-1909-1957,7961388,10,12,
20250727,desktop,female,18-24,Jakarta,2-2175-2178,8030842,10,10,
20250727,desktop,female,18-24,Jakarta,2-3-814-4,8030389,12,13,
20250727,desktop,female,18-24,Jakarta,2-605,(not set),29,52,
20250727,desktop,female,18-24,Jakarta,2-605-10,8025627,10,12,
20250727,desktop,female,18-24,Jakarta,2-605-1147-1148,8030857,12,61,
20250727,desktop,female,18-24,Jakarta,2-69-70,(not set),14,24,
20250727,desktop,female,18-24,Jambi,(not set),(not set),44,58,
20250727,desktop,female,18-24,Jayapura,(not set),(not set),13,13,
20250727,desktop,female,18-24,Jember,(not set),(not set),58,73,
20250727,desktop,female,18-24,Karanganyar,(not set),(not set),12,14,
20250727,desktop,female,18-24,Kasihan,(not set),(not set),11,17,
20250727,desktop,female,18-24,Kebumen,(not set),(not set),12,15,
20250727,desktop,female,18-24,Kediri,(not set),(not set),54,81,
20250727,desktop,female,18-24,Kendari,(not set),(not set),30,39,
20250727,desktop,female,18-24,Kepanjen,(not set),(not set),11,13,
20250727,desktop,female,18-24,Klaten,(not set),(not set),61,89,
20250727,desktop,female,18-24,Kuala Lumpur,(not set),(not set),38,52,
20250727,desktop,female,18-24,Kudus,(not set),(not set),42,65,
20250727,desktop,female,18-24,Kuningan,(not set),(not set),13,19,
20250727,desktop,female,18-24,Kupang,(not set),(not set),49,82,
20250727,desktop,female,18-24,Kuta Selatan,(not set),(not set),11,11,
20250727,desktop,female,18-24,Lamongan,(not set),(not set),11,12,
20250727,desktop,female,18-24,Lhokseumawe,(not set),(not set),19,21,
20250727,desktop,female,18-24,Lubuklinggau,(not set),(not set),11,14,
20250727,desktop,female,18-24,Madiun,(not set),(not set),42,70,
20250727,desktop,female,18-24,Makassar,(not set),(not set),279,374,
20250727,desktop,female,18-24,Makassar,2-1909-1954,8030743,16,24,
20250727,desktop,female,18-24,Malang,(not set),(not set),229,340,
20250727,desktop,female,18-24,Malang,2,(not set),17,27,
20250727,desktop,female,18-24,Manado,(not set),(not set),68,86,
20250727,desktop,female,18-24,Manado,2-1909-1954,8030743,11,12,
20250727,desktop,female,18-24,Mataram,(not set),(not set),30,54,
20250727,desktop,female,18-24,Medan,(not set),(not set),311,501,
20250727,desktop,female,18-24,Medan,2,(not set),17,20,
20250727,desktop,female,18-24,Medan,2-1909-1954,8030743,15,17,
20250727,desktop,female,18-24,Metro,(not set),(not set),13,15,
20250727,desktop,female,18-24,Nganjuk,(not set),(not set),21,32,
20250727,desktop,female,18-24,Ngawi,(not set),(not set),11,12,
20250727,desktop,female,18-24,Ngoro,(not set),(not set),12,18,
20250727,desktop,female,18-24,Padang,(not set),(not set),118,165,
20250727,desktop,female,18-24,Palangkaraya,(not set),(not set),25,37,
20250727,desktop,female,18-24,Palembang,(not set),(not set),191,317,
20250727,desktop,female,18-24,Palembang,2-1909-1954,8030743,17,19,
20250727,desktop,female,18-24,Palu,(not set),(not set),30,54,
20250727,desktop,female,18-24,Pangkalpinang,(not set),(not set),13,18,
20250727,desktop,female,18-24,Parepare,(not set),(not set),10,10,
20250727,desktop,female,18-24,Pasuruan,(not set),(not set),26,36,
20250727,desktop,female,18-24,Pati,(not set),(not set),15,18,
20250727,desktop,female,18-24,Payakumbuh,(not set),(not set),12,20,
20250727,desktop,female,18-24,Pekalongan,(not set),(not set),25,34,
20250727,desktop,female,18-24,Pekanbaru,(not set),(not set),193,329,
20250727,desktop,female,18-24,Pekanbaru,2,(not set),10,17,
20250727,desktop,female,18-24,Pekanbaru,2-1909-1954,8030743,13,18,
20250727,desktop,female,18-24,Pemalang,(not set),(not set),15,25,
20250727,desktop,female,18-24,Pematangsiantar,(not set),(not set),43,54,
20250727,desktop,female,18-24,Phnom Penh,(not set),(not set),21,33,
20250727,desktop,female,18-24,Ponorogo,(not set),(not set),25,30,
20250727,desktop,female,18-24,Pontianak,(not set),(not set),85,103,
20250727,desktop,female,18-24,Probolinggo,(not set),(not set),16,26,
20250727,desktop,female,18-24,Purwokerto,(not set),(not set),68,110,
20250727,desktop,female,18-24,Salatiga,(not set),(not set),15,15,
20250727,desktop,female,18-24,Samarinda,(not set),(not set),60,95,
20250727,desktop,female,18-24,Semarang,(not set),(not set),545,725,
20250727,desktop,female,18-24,Semarang,2,(not set),40,60,
20250727,desktop,female,18-24,Semarang,2-1909-1954,8026659,18,18,
20250727,desktop,female,18-24,Serang,(not set),(not set),14,18,
20250727,desktop,female,18-24,Sidoarjo,(not set),(not set),63,93,
20250727,desktop,female,18-24,Singapore,(not set),(not set),21,26,
20250727,desktop,female,18-24,Sorong,(not set),(not set),42,70,
20250727,desktop,female,18-24,South Tangerang,(not set),(not set),183,297,
20250727,desktop,female,18-24,South Tangerang,2,(not set),32,59,
20250727,desktop,female,18-24,Sukabumi,(not set),(not set),46,62,
20250727,desktop,female,18-24,Surabaya,(not set),(not set),598,1209,
20250727,desktop,female,18-24,Surabaya,2,(not set),27,47,
20250727,desktop,female,18-24,Surabaya,2-1909-1954,8026659,11,11,
20250727,desktop,female,18-24,Surakarta,(not set),(not set),239,346,
20250727,desktop,female,18-24,Tangerang,(not set),(not set),211,275,
20250727,desktop,female,18-24,Tangerang,2,(not set),22,46,
20250727,desktop,female,18-24,Tanjung Pinang,(not set),(not set),13,26,
20250727,desktop,female,18-24,Tarakan,(not set),(not set),11,47,
20250727,desktop,female,18-24,Tasikmalaya,(not set),(not set),78,120,
20250727,desktop,female,18-24,Teluk Ambon,(not set),(not set),34,54,
20250727,desktop,female,18-24,Trenggalek,(not set),(not set),12,17,
20250727,desktop,female,18-24,Tulungagung,(not set),(not set),29,50,
20250727,desktop,female,18-24,Wates,(not set),(not set),11,56,
20250727,desktop,female,18-24,Wonosobo,(not set),(not set),14,27,
20250727,desktop,female,18-24,Yogyakarta,(not set),(not set),103,120,
20250727,desktop,female,18-24,Yogyakarta,2,(not set),10,12,
20250727,desktop,female,25-34,Balikpapan,(not set),(not set),19,33,
20250727,desktop,female,25-34,Banda Aceh,(not set),(not set),13,16,
20250727,desktop,female,25-34,Bandar Lampung,(not set),(not set),39,52,
20250727,desktop,female,25-34,Bandung,(not set),(not set),143,232,
20250727,desktop,female,25-34,Bandung,2,(not set),29,51,
20250727,desktop,female,25-34,Banjarmasin,(not set),(not set),25,33,
20250727,desktop,female,25-34,Batam,(not set),(not set),25,34,
20250727,desktop,female,25-34,Bekasi,(not set),(not set),49,95,
20250727,desktop,female,25-34,Bekasi,1-1-1900,(not set),13,24,
20250727,desktop,female,25-34,Bekasi Regency,(not set),(not set),44,107,
20250727,desktop,female,25-34,Bima,(not set),(not set),11,17,
20250727,desktop,female,25-34,Bogor,(not set),(not set),28,38,
20250727,desktop,female,25-34,Cirebon,(not set),(not set),24,39,
20250727,desktop,female,25-34,Denpasar,(not set),(not set),47,63,
20250727,desktop,female,25-34,Depok,(not set),(not set),106,161,
20250727,desktop,female,25-34,Depok,1-1-1900,(not set),16,22,
20250727,desktop,female,25-34,Jakarta,(not set),(not set),503,1035,
20250727,desktop,female,25-34,Jakarta,2,(not set),181,366,
